   Município;Região Administrativa;Região de Governo;Região Metropolitana;
"Marinópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Martinópolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Matão";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Mauá";"-";"-";"Região Metropolitana de São Paulo";
"Mendonça";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Meridiano";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Mesópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Miguelópolis";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Mineiros do Tietê";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Mira Estrela";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Miracatu";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Mirandópolis";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Mirante do Paranapanema";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Mirassol";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Mirassolândia";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Mococa";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Mogi das Cruzes";"-";"-";"Região Metropolitana de São Paulo";
"Mogi Guaçu";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Moji Mirim";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Mombuca";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Monções";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Mongaguá";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Monte Alegre do Sul";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Monte Alto";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Monte Aprazível";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Monte Azul Paulista";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Monte Castelo";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Monte Mor";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Monteiro Lobato";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Morro Agudo";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Morungaba";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Motuca";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Murutinga do Sul";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Nantes";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Narandiba";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Natividade da Serra";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Nazaré Paulista";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Neves Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Nhandeara";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Nipoã";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Nova Aliança";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Nova Campina";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Nova Canaã Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Nova Castilho";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Nova Europa";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Nova Granada";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Nova Guataporanga";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Nova Independência";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Nova Luzitânia";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Nova Odessa";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Novais";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Novo Horizonte";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Nuporanga";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Ocauçu";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Óleo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Olímpia";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Onda Verde";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Oriente";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Orindiúva";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Orlândia";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Osasco";"-";"-";"Região Metropolitana de São Paulo";
"Oscar Bressane";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Osvaldo Cruz";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Ourinhos";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
